"","region","Year","emission"
"1","World",1978,18958.83194
"2","World",1979,19464.23814
"3","World",1980,19369.45179
"4","World",1981,18841.36658
"5","World",1982,18700.96497
"6","World",1983,18876.27456
"7","World",1984,19426.23405
"8","World",1985,20116.82422
"9","World",1986,20401.6947
"10","World",1987,21062.70396
"11","World",1988,21865.97075
"12","World",1989,22193.36178
"13","World",1990,22697.61192
"14","World",1991,23169.52933
"15","World",1992,22444.95133
"16","World",1993,22682.60321
"17","World",1994,22843.78772
"18","World",1995,23332.15907
"19","World",1996,24050.84364
"20","World",1997,24191.14815
"21","World",1998,24112.11881
"22","World",1999,24431.05076
"23","World",2000,25119.04231
"24","World",2001,25332.20252
"25","World",2002,25911.18628
"26","World",2003,27176.18398
"27","World",2004,28470.45125
"28","World",2005,29410.88934
"29","World",2006,30374.55399
"30","World",2007,31293.8623
"31","World",2008,31946.0339
"32","World",2009,31464.20043
"33","World",2010,33131.91107
"34","World",2011,34209.58257
"35","World",2012,34760.00814
"36","World",2013,34987.26355
"37","World",2014,35244.86811
"38","World",2015,35209.44656
"39","World",2016,35220.41242
"40","World",2017,35696.34889
"41","World",2018,36419.71171
"42","World",2019,36441.38758
