"","X","Year","emission","avg","Median_Temp"
"1",1,1978,18.95883194,12.9768382352941,-0.62
"2",2,1979,19.46423814,12.0193489010989,0.57
"3",3,1980,19.36945179,11.785218579235,0.92
"4",4,1981,18.84136658,11.7761475409836,1.4
"5",5,1982,18.70096497,12.0487554945055,0.11
"6",6,1983,18.87627456,11.8529043715847,1.94
"7",7,1984,19.42623405,11.6811393442623,-0.14
"8",8,1985,20.11682422,11.8102142857143,-0.3
"9",9,1986,20.4016947,11.6397732240437,0.45
"10",10,1987,21.06270396,12.1494113636364,1.92
"11",11,1988,21.86597075,11.8891793785311,1.98
"12",12,1989,22.19336178,11.6962671232877,1.18
"13",13,1990,22.69761192,11.5517178082192,2.96
"14",14,1991,23.16952933,11.6470657534247,2.54
"15",15,1992,22.44495133,11.7545491803279,1.05
"16",16,1993,22.68260321,11.671495890411,1.48
"17",17,1994,22.84378772,11.8926438356164,2.08
"18",18,1995,23.33215907,11.6049328767123,3.25
"19",19,1996,24.05084364,11.8049576502732,1.83
"20",20,1997,24.19114815,11.5288328767123,3.9
"21",21,1998,24.11211881,11.7478767123288,5.39
"22",22,1999,24.43105076,11.7260739726027,3.06
"23",23,2000,25.11904231,11.6277008196721,2.94
"24",24,2001,25.33220252,11.6363205479452,4.41
"25",25,2002,25.91118628,11.2922369863014,4.96
"26",26,2003,27.17618398,11.6832547945205,5.05
"27",27,2004,28.47045125,11.6009658469945,4.47
"28",28,2005,29.41088934,11.3009273972603,5.45
"29",29,2006,30.37455399,11.1167630136986,5.06
"30",30,2007,31.2938623,11.080601369863,4.91
"31",31,2008,31.9460339,11.6086270491803,3.95
"32",32,2009,31.46420043,11.4902808219178,5.06
"33",33,2010,33.13191107,11.4090917808219,5.6
"34",34,2011,34.20958257,10.9920342465753,4.25
"35",35,2012,34.76000814,11.2052677595628,4.7
"36",36,2013,34.98726355,11.7103602739726,5.14
"37",37,2014,35.24486811,11.7833109589041,5.79
"38",38,2015,35.20944656,11.4899589041096,7.63
"39",39,2016,35.22041242,10.6827964480874,7.97
"40",40,2017,35.69634889,10.5708136986301,6.77
"41",41,2018,36.41971171,10.6323123287671,5.97
"42",42,2019,36.44138758,9.24364569536424,7.36
